Date,Index
09-05-2014,2.18
12-05-2014,2.18
13-05-2014,2.16
14-05-2014,2.17
15-05-2014,2.19
16-05-2014,2.18
19-05-2014,2.17
20-05-2014,2.17
21-05-2014,2.18
22-05-2014,2.21
23-05-2014,2.22
26-05-2014,2.22
27-05-2014,2.21
28-05-2014,2.22
29-05-2014,2.23
30-05-2014,2.22
02-06-2014,2.22
03-06-2014,2.19
04-06-2014,2.17
05-06-2014,2.18
06-06-2014,2.2
09-06-2014,2.21
10-06-2014,2.21
11-06-2014,2.22
12-06-2014,2.19
13-06-2014,2.19
16-06-2014,2.2
17-06-2014,2.23
18-06-2014,2.23
19-06-2014,2.25
20-06-2014,2.28
23-06-2014,2.28
24-06-2014,2.28
25-06-2014,2.28
26-06-2014,2.27
27-06-2014,2.27
30-06-2014,2.26
01-07-2014,2.26
02-07-2014,2.26
03-07-2014,2.28
04-07-2014,2.28
07-07-2014,2.27
08-07-2014,2.27
09-07-2014,2.29
10-07-2014,2.28
11-07-2014,2.28
14-07-2014,2.27
15-07-2014,2.25
16-07-2014,2.23
17-07-2014,2.23
18-07-2014,2.24
21-07-2014,2.24
22-07-2014,2.23
23-07-2014,2.23
24-07-2014,2.27
25-07-2014,2.28
28-07-2014,2.28
29-07-2014,2.27
30-07-2014,2.28
31-07-2014,2.29
01-08-2014,2.27
04-08-2014,2.25
05-08-2014,2.24
06-08-2014,2.25
07-08-2014,2.24
08-08-2014,2.25
11-08-2014,2.25
12-08-2014,2.24
13-08-2014,2.23
14-08-2014,2.21
15-08-2014,2.18
18-08-2014,2.18
19-08-2014,2.17
20-08-2014,2.17
21-08-2014,2.17
22-08-2014,2.14
25-08-2014,2.15
26-08-2014,2.14
27-08-2014,2.14
28-08-2014,2.13
29-08-2014,2.12
01-09-2014,2.12
02-09-2014,2.15
03-09-2014,2.17
04-09-2014,2.17
05-09-2014,2.15
08-09-2014,2.13
09-09-2014,2.11
10-09-2014,2.1
11-09-2014,2.12
12-09-2014,2.13
15-09-2014,2.13
16-09-2014,2.12
17-09-2014,2.06
18-09-2014,2.02
19-09-2014,2.03
22-09-2014,1.99
23-09-2014,2.02
24-09-2014,2.03
25-09-2014,2.02
26-09-2014,1.97
29-09-2014,1.95
30-09-2014,1.97
01-10-2014,1.96
02-10-2014,1.95
03-10-2014,1.93
06-10-2014,1.93
07-10-2014,1.92
08-10-2014,1.96
09-10-2014,1.97
10-10-2014,1.96
13-10-2014,1.96
14-10-2014,1.92
15-10-2014,1.86
16-10-2014,1.89
17-10-2014,1.92
20-10-2014,1.91
21-10-2014,1.9
22-10-2014,1.91
23-10-2014,1.91
24-10-2014,1.9
27-10-2014,1.89
28-10-2014,1.91
29-10-2014,1.92
30-10-2014,1.9
31-10-2014,1.92
03-11-2014,1.93
04-11-2014,1.92
05-11-2014,1.93
06-11-2014,1.94
07-11-2014,1.94
10-11-2014,1.94
11-11-2014,1.94
12-11-2014,1.91
13-11-2014,1.88
14-11-2014,1.89
17-11-2014,1.86
18-11-2014,1.84
19-11-2014,1.83
20-11-2014,1.85
21-11-2014,1.86
24-11-2014,1.86
25-11-2014,1.85
26-11-2014,1.82
27-11-2014,1.82
28-11-2014,1.79
01-12-2014,1.79
02-12-2014,1.77
03-12-2014,1.79
04-12-2014,1.77
05-12-2014,1.75
08-12-2014,1.71
09-12-2014,1.73
10-12-2014,1.71
11-12-2014,1.7
12-12-2014,1.64
15-12-2014,1.62
16-12-2014,1.65
17-12-2014,1.65
18-12-2014,1.65
